WORDS,DEFINITIONS,CONJUGATIONS
"['вста́ть', 'pf']","['imperfective', 'встава́ть', 'Definition: \n to  stand up , to  get up , to  rise ']","['Я вста́ну', 'Ты вста́нешь', 'Они вста́нет']"
"['де́ться', 'pf']","['imperfective', 'дева́ться', 'Definition: \n ( colloquial )  to  disappear , to  vanish , to  get   lost ']","['Я де́нусь', 'Ты де́нешься', 'Они де́нется']"
"['доста́ть', 'pf']","['imperfective', 'достава́ть', 'Definition: \n to  reach , to  touch ']","['Я доста́ну', 'Ты доста́нешь', 'Они доста́нет']"
"['доста́ться', 'pf']","['imperfective', 'достава́ться', ""Definition: \n ( colloquial )  to  fall to someone's share ; to  fall to someone's lot ""]","['Я доста́нусь', 'Ты доста́нешься', 'Они доста́нется']"
"['заста́ть', 'pf']","['imperfective', 'застава́ть', 'Definition: \n to  find , to  catch , to (manage to)  meet  (e.g. someone at home or at work)']","['Я заста́ну', 'Ты заста́нешь', 'Они заста́нет']"
"['застря́ть', 'pf']","['imperfective', 'застрева́ть', 'Definition: \n to become  stuck']","['Я застря́ну', 'Ты застря́нешь', 'Они застря́нет']"
"['засты́ть', 'pf']","['imperfective', 'застыва́ть', 'Definition: \n to  thicken , to  harden , to  solidify ']","['Я засты́ну', 'Ты засты́нешь', 'Они засты́нет']"
"['наде́ть', 'pf']","['imperfective', 'надева́ть', 'Definition: \n to  put on , to  get on ']","['Я наде́ну', 'Ты наде́нешь', 'Они наде́нет']"
"['наста́ть', 'pf']","['imperfective', 'настава́ть', 'Definition: \n to  come , to  begin  (of time)']","['Я наста́ну', 'Ты наста́нешь', 'Они наста́нет']"
"['оде́ться', 'pf']","['imperfective', 'одева́ться', 'Definition: \n to  dress  (oneself) ']","['Я оде́нусь', 'Ты оде́нешься', 'Они оде́нется']"
"['оста́ться', 'pf']","['imperfective', 'остава́ться', 'Definition: \n to  remain , to  stay ']","['Я оста́нусь', 'Ты оста́нешься', 'Они оста́нется']"
"['отста́ть', 'pf']","['imperfective', 'отстава́ть', 'Definition: \n to  fall behind , to  lag   ( to be below average in performance ) ']","['Я отста́ну', 'Ты отста́нешь', 'Они отста́нет']"
"['переста́ть', 'pf']","['imperfective', 'перестава́ть', 'Definition: \n to  stop , to  cease , to  quit ']","['Я переста́ну', 'Ты переста́нешь', 'Они переста́нет']"
"['расста́ться', 'pf']","['imperfective', 'расстава́ться', 'Definition: \n to  part , to  separate ']","['Я расста́нусь', 'Ты расста́нешься', 'Они расста́нется']"
"['ста́ть', 'pf']","['imperfective', 'станови́ться', 'Definition: \n to  stand  in a certain location or near someone or something (interchangeable with  встать )']","['Я ста́ну', 'Ты ста́нешь', 'Они ста́нет']"
"['уста́ть', 'pf']","['imperfective', 'устава́ть', 'Definition: \n to get  tired']","['Я уста́ну', 'Ты уста́нешь', 'Они уста́нет']"
