WORDS,DEFINITIONS,CONJUGATIONS
"['бежа́ть', 'impf or pf']","['perfective', 'побежа́ть', 'Definition: \n ( imperfective only )  to  run , to be  running ']","['Я бегу́', 'Ты бежи́шь', 'Они бегу́т']"
"['бы́ть', 'impf']","[None, None, 'Definition: \n to  be ']","['Я е́сть', 'Ты е́сть', 'Они е́сть']"
"['войти́', 'pf']","['imperfective', 'входи́ть', 'Definition: \n to  enter , to  go  in(to) (by foot), to  get  in(to) ']","['Я войду́', 'Ты войдёшь', 'Они войдёт']"
"['вы́бежать', 'pf']","['imperfective', 'выбега́ть', 'Definition: \n to  run out  (outside)']","['Я вы́бегу', 'Ты вы́бежишь', 'Они вы́бежит']"
"['вы́дать', 'pf']","['imperfective', 'выдава́ть', 'Definition: \n to  give out , to  pay out , to  hand , to  issue , to  distribute ']","['Я вы́дам', 'Ты вы́дашь', 'Они вы́даст']"
"['вы́ехать', 'pf']","['imperfective', 'выезжа́ть', 'Definition: \n to  exit , to  go out  (by vehicle)']","['Я вы́еду', 'Ты вы́едешь', 'Они вы́едет']"
"['вы́йти', 'pf']","['imperfective', 'выходи́ть', 'Definition: \n to  exit , to  go out ']","['Я вы́йду', 'Ты вы́йдешь', 'Они вы́йдет']"
"['да́ть', 'pf']","['imperfective', 'дава́ть', 'Definition: \n to  give ']","['Я да́м', 'Ты да́шь', 'Они да́ст']"
"['добы́ть', 'pf']","['imperfective', 'добыва́ть', 'Definition: \n to  obtain , to  get , to  procure ']","['Я добу́ду', 'Ты добу́дешь', 'Они добу́дет']"
"['дойти́', 'pf']","['imperfective', 'доходи́ть', 'Definition: \n to  go  to, to  come  to, to  arrive  at, to  reach ']","['Я дойду́', 'Ты дойдёшь', 'Они дойдёт']"
"['е́сть', None]","[None, None, 'Definition: \n third-person   singular   present  of  бꙑти   ( byti )']","['Я е́м', 'Ты е́шь', 'Они едя́т']"
"['е́хать', 'impf']","['perfective', 'пое́хать', 'Definition: \n to  go  (by horse or vehicle), to  ride , to  drive ']","['Я е́ду', 'Ты е́дешь', 'Они е́дут']"
"['забы́ть', 'pf']","['imperfective', 'забыва́ть', 'Definition: \n to  forget ']","['Я забу́ду', 'Ты забу́дешь', 'Они забу́дет']"
"['зада́ть', 'pf']","['imperfective', 'задава́ть', 'Definition: \n to  set , to  assign  (an exercise or lesson)']","['Я зада́м', 'Ты зада́шь', 'Они зада́ст']"
"['зайти́', 'pf']","['imperfective', 'заходи́ть', 'Definition: \n to  go  (to see), to  come in  (to see, etc.), to  call , to  drop in ']","['Я зайду́', 'Ты зайдёшь', 'Они зайдёт']"
"['засы́пать', 'pf']","['imperfective', 'засыпа́ть', 'Definition: \n to  fill  up ']","['Я засы́плю', 'Ты засы́плешь', 'Они засы́плет']"
"['захоте́ть', 'pf']","['imperfective', 'хоте́ть', 'Definition: \n to begin to  want , to begin to  desire']","['Я захочу́', 'Ты захо́чешь', 'Они захо́чет']"
"['захоте́ться', 'pf']","['imperfective', 'хоте́ться', 'Definition: \n ( impersonal )  to  want , to  desire , to  feel like  (doing/having/etc.)']","['Я захочу́сь', 'Ты захо́чешься', 'Они захо́чется']"
"['идти́', 'impf']","['perfective', 'пойти́', 'Definition: \n to  go ']","['Я иду́', 'Ты идёшь', 'Они иду́т']"
"['избежа́ть', 'pf']","['imperfective', 'избега́ть', 'Definition: \n to  avoid , to  evade , to  elude ']","['Я избегу́', 'Ты избежи́шь', 'Они избежи́т']"
"['изда́ть', 'pf']","['imperfective', 'издава́ть', 'Definition: \n to  publish , to  print ']","['Я изда́м', 'Ты изда́шь', 'Они изда́ст']"
"['кля́сться', 'impf']","['perfective', 'покля́сться', 'Definition: \n to  vow , to  swear   ( to make a vow ) ']","['Я кляну́сь', 'Ты клянёшься', 'Они кляну́тся']"
"['ле́чь', 'pf']","['imperfective', 'ложи́ться', 'Definition: \n to  lie down ']","['Я ля́гу', 'Ты ля́жешь', 'Они ля́жет']"
"['мо́чь', 'impf']","['perfective', 'смо́чь', 'Definition: \n ( intransitive )   can ,  be able to ']","['Я могу́', 'Ты мо́жешь', 'Они мо́гут']"
"['надое́сть', 'pf']","['imperfective', 'надоеда́ть', 'Definition: \n to  bore ']","['Я надое́м', 'Ты надое́шь', 'Они надое́ст']"
"['найти́', 'pf']","['imperfective', 'находи́ть', 'Definition: \n to  find ']","['Я найду́', 'Ты найдёшь', 'Они найдёт']"
"['найти́сь', 'pf']","['imperfective', 'находи́ться', 'Definition: \n passive  of  найти́   ( najtí ) : to happen to have, to be discovered']","['Я найду́сь', 'Ты найдёшься', 'Они найдётся']"
"['обойти́', 'pf']","['imperfective', 'обходи́ть', 'Definition: \n to  go   around , to  bypass   ( to pass by going around ) ']","['Я обойду́', 'Ты обойдёшь', 'Они обойдёт']"
"['обойти́сь', 'pf']","['imperfective', 'обходи́ться', 'Definition: \n to  cost ; to come to']","['Я обойду́сь', 'Ты обойдёшься', 'Они обойдётся']"
"['отда́ть', 'pf']","['imperfective', 'отдава́ть', 'Definition: \n to  give  back, to  return ']","['Я отда́м', 'Ты отда́шь', 'Они отда́ст']"
"['отойти́', 'pf']","['imperfective', 'отходи́ть', 'Definition: \n to  go away , to go aside, to move away, to move aside ']","['Я отойду́', 'Ты отойдёшь', 'Они отойдёт']"
"['ошиби́ться', 'pf']","['imperfective', 'ошиба́ться', 'Definition: \n to  make a mistake , to  err']","['Я ошибу́сь', 'Ты ошибёшься', 'Они ошибётся']"
"['переда́ть', 'pf']","['imperfective', 'передава́ть', 'Definition: \n to  hand over , to  deliver , to  give ']","['Я переда́м', 'Ты переда́шь', 'Они переда́ст']"
"['перее́хать', 'pf']","['imperfective', 'переезжа́ть', 'Definition: \n to  move   ( to change residence ) ']","['Я перее́ду', 'Ты перее́дешь', 'Они перее́дет']"
"['перейти́', 'pf']","['imperfective', 'переходи́ть', 'Definition: \n to  cross , to  get over , to  get across ']","['Я перейду́', 'Ты перейдёшь', 'Они перейдёт']"
"['побежа́ть', 'pf']","['imperfective', 'бежа́ть', 'Definition: \n to start  running , to break into a  run ']","['Я побегу́', 'Ты побежи́шь', 'Они побежи́т']"
"['пода́ть', 'pf']","['imperfective', 'подава́ть', 'Definition: \n to  give , to  proffer , to  pass ']","['Я пода́м', 'Ты пода́шь', 'Они пода́ст']"
"['пода́ться', 'pf']","['imperfective', 'подава́ться', 'Definition: \n to  move  (under pressure) ']","['Я пода́мся', 'Ты пода́шься', 'Они пода́стся']"
"['подбежа́ть', 'pf']","['imperfective', 'подбега́ть', 'Definition: \n to  run up , to come running up to']","['Я подбегу́', 'Ты подбежи́шь', 'Они подбежи́т']"
"['подойти́', 'pf']","['imperfective', 'подходи́ть', 'Definition: \n to  approach , to  come   to , to  walk   to , to  draw near  [+  к   (object) ] ']","['Я подойду́', 'Ты подойдёшь', 'Они подойдёт']"
"['подъе́хать', 'pf']","['imperfective', 'подъезжа́ть', 'Definition: \n to  drive  up (to)']","['Я подъе́ду', 'Ты подъе́дешь', 'Они подъе́дет']"
"['пое́сть', 'pf']","['imperfective', 'е́сть', 'Definition: \n to  eat , to have a bite (of something to eat), to try (eat) ']","['Я пое́м', 'Ты пое́шь', 'Они пое́ст']"
"['пое́хать', 'pf']","['imperfective', 'е́хать', 'Definition: \n to  go   (in a conveyance or on horseback) ']","['Я пое́ду', 'Ты пое́дешь', 'Они пое́дет']"
"['пойти́', 'pf']","['imperfective', 'идти́', 'Definition: \n to  go ']","['Я пойду́', 'Ты пойдёшь', 'Они пойдёт']"
"['помо́чь', 'pf']","['imperfective', 'помога́ть', 'Definition: \n to  help  (+  dative )']","['Я помогу́', 'Ты помо́жешь', 'Они помо́жет']"
"['прибежа́ть', 'pf']","['imperfective', 'прибега́ть', 'Definition: \n to  come   running']","['Я прибегу́', 'Ты прибежи́шь', 'Они прибежи́т']"
"['прибы́ть', 'pf']","['imperfective', 'прибыва́ть', 'Definition: \n to  arrive ']","['Я прибу́ду', 'Ты прибу́дешь', 'Они прибу́дет']"
"['прида́ть', 'pf']","['imperfective', 'придава́ть', 'Definition: \n to  give , to  impart ; to  attach ']","['Я прида́м', 'Ты прида́шь', 'Они прида́ст']"
"['прие́хать', 'pf']","['imperfective', 'приезжа́ть', 'Definition: \n to  arrive , to  come  (by vehicle or horse)']","['Я прие́ду', 'Ты прие́дешь', 'Они прие́дет']"
"['прийти́', 'pf']","['imperfective', 'приходи́ть', 'Definition: \n to  come  (to), to  arrive  (at)']","['Я приду́', 'Ты придёшь', 'Они придёт']"
"['прийти́сь', 'pf']","['imperfective', 'приходи́ться', 'Definition: \n to  suit , to  fit   ( по   ( po )  +  dative , someone ) ']","['Я приду́сь', 'Ты придёшься', 'Они придётся']"
"['пробежа́ть', 'pf']","['imperfective', 'пробега́ть', 'Definition: \n to  run  past, to run through ']","['Я пробегу́', 'Ты пробежи́шь', 'Они пробежи́т']"
"['прода́ть', 'pf']","['imperfective', 'продава́ть', 'Definition: \n to  sell ']","['Я прода́м', 'Ты прода́шь', 'Они прода́ст']"
"['прое́хать', 'pf']","['imperfective', 'проезжа́ть', 'Definition: \n to  go   through / by   ( by horse or vehicle ) , to  ride   through / by , to  drive   through / by ']","['Я прое́ду', 'Ты прое́дешь', 'Они прое́дет']"
"['произойти́', 'pf']","['imperfective', 'происходи́ть', 'Definition: \n to  take place , to  happen , to  occur ']","['Я произойду́', 'Ты произойдёшь', 'Они произойдёт']"
"['пройти́', 'pf']","['imperfective', 'проходи́ть', 'Definition: \n to  pass , to  go , to  walk ']","['Я пройду́', 'Ты пройдёшь', 'Они пройдёт']"
"['пройти́сь', 'pf']","['imperfective', 'проха́живаться', 'Definition: \n to (go for a)  walk , to  stroll ']","['Я пройду́сь', 'Ты пройдёшься', 'Они пройдётся']"
"['просыпа́ться', 'impf']","['perfective', 'просну́ться', 'Definition: \n to  wake up , to  awaken ']","['Я просыпа́юсь', 'Ты просыпа́ешься', 'Они просыпа́ются']"
"['проче́сть', 'pf']","['imperfective', 'чита́ть', 'Definition: \n to finish  reading , to  read  through']","['Я прочту́', 'Ты прочтёшь', 'Они прочтёт']"
"['разда́ться', 'pf']","['imperfective', 'раздава́ться', 'Definition: \n to  sound , to  ring out  (usually unexpectedly), to  go off  (e.g. telephone, gunshot)']","['Я разда́мся', 'Ты разда́шься', 'Они разда́стся']"
